Country/Region,Cars,Commercial vehicles,Total,% change
Argentina,208573,258076,466649,-1.4
Austria,144500,20400,164900,69.7
Belgium,265958,42535,308493,-18.2
Brazil,2386758,493051,2879809,5.2
Canada,655896,1364944,2020840,-7.9
China,23529423,4279773,27809196,-4.2
Colombia,69000,3800,72800,-5.5
Czech Rep.,1345041,0,1345041,3
Egypt,19500,52100,71600,95
Finland,112104,0,112104,3
France,1763000,507000,2270000,2.0
Germany,5120409,0,5120409,-9.3
Hungary,430988,0,430988,3.0
India,4064774,1109871,5174645,8.0
Indonesia,1055774,287940,1343714,10.3
Iran,1027313,68213,1095526,-40
Italy,670932,389136,1060068,-7.2
Japan,8358220,1370308,9728528,0.4
Malaysia,522000,42800,564800,12.2
Morocco,368601,33484,402085,17.6
Mexico,1575808,2524717,4100525,0.1
Poland,451600,208046,659646,-4.4
Portugal,234151,60215,294366,67.7
Romania,476769,0,476769,31.1
Russia,1563572,204102,1767674,13.9
Serbia,56303,146,56449,-28.5
Slovakia,1090000,0,1090000,5.6
Slovenia,209378,0,209378,10.2
South Africa,321097,289757,610854,3.5
South Korea,3661730,367104,4028834,-2.1
Spain,2267396,552169,2819565,-1.0
Taiwan,190052,63189,253241,-13.1
Thailand,877015,1290679,2167694,9.0
Turkey,1026461,523689,1550150,-8.6
Ukraine,5660,963,6623,-22.9
UK,1519440,84888,1604328,-8.3
USA,2795971,8518734,11314705,1.1
Uzbekistan,220667,0,220667,57.3
Others,341554,152230,493784
Total,70498388,25136912,95634593,-1.1
