COUNTRY/REGION,CARS,COMMERCIAL VEHICLES,TOTAL,% CHANGE
ARGENTINA,184106,250647,434753,69%
AUSTRIA,124700,12000,136700,9%
BELGIUM,224180,36858,261038,-2%
BRAZIL,1707851,540402,2248253,12%
CANADA,288 235,826767,1115002,-19%
CHINA,21407962,4674258,26082220,3%
CZECH REPUBLIC,1 105 223,6209,1111432,-4%
EGYPT,23754,23754,0%
FINLAND,93172,93172,8%
FRANCE,917907,433401,1351308,3%
GERMANY,3096165,212527,3308692,-12%
HUNGARY,394302,394302,-3%
INDIA,3631095,768017,4399112,30%
INDONESIA,889756,232211,1121967,63%
ITALY,442432,353424,795856,2%
JAPAN,6619242,1227713,7846955,-3%
KAZAKHSTAN,80679,11738,92417,24%
MALAYSIA,446431,35220,481651,-1%
MOROCCO,338339,64668,403007,23%
MEXICO,708242,2437411,3145653,-1%
POLAND,260800,178621,439421,-3%
PORTUGAL,229221,60733,289954,10%
ROMANIA,420755,420755,-4%
RUSSIA,1352740,213577,1566317,9%
SERBIA,21109,154,21263,-9%
SLOVAKIA,1000000,1000000,1%
SLOVENIA,95797,95797,-32%
SOUTH AFRICA,239267,259820,499087,12%
SOUTH KOREA,3162727,299677,3462404,-1%
SPAIN,1662174,435959,2098133,-8%
TAIWAN,196749,68571,265320,8%
THAILAND,594690,1091015,1685705,18%
TURKEY,782835,493305,1276140,-2%
UKRAINE,7342,811,8153,65%
UNITED KINGDOM,859575,72913,932488,-6%
USA,1563060,7604154,9167214,4%
UZBEKISTAN,236 667,4982,241649,-15%
OTHERS,1645014,183930,1828944
TOTAL,57054295,23091693,80145988,3%
