COUNTRY/REGION,CARS,COMMERCIAL VEHICLES,TOTAL,% CHANGE
ARGENTINA,257505,279388,536893,24%
AUSTRIA,107500,0,107500,-21%
BELGIUM,232100,44454,276554,6%
BRAZIL,1824833,544936,2369769,5%
CANADA,289371,939364,1228735,10%
CHINA,23836083,3184532,27020615,3%
CZECH REPUBLIC,1217787,6669,1224456,10%
FINLAND,73044,0,73044,-15%
FRANCE,1010466,372707,1383173,2%
GERMANY,3480357,197463,3677820,11%
HUNGARY,441729,0,441729,6%
INDIA,4439039,1017818,5456857,24%
INDONESIA,1214250,255896,1470146,31%
ITALY,473194,323200,796394,0%
JAPAN,6566356,1269163,7835519,0%
KAZAKHSTAN,103345,9195,112540,22%
MALAYSIA,650190,52085,702275,46%
MOROCCO,404742,60122,464864,15%
MEXICO,658001,2851071,3509072,10%
POLAND,255100,228740,483840,10%
PORTUGAL,256018,66386,322404,11%
ROMANIA,509465,0,509465,21%
RUSSIA,448897,159563,608460,-61%
SERBIA,4358,140,4498,-79%
SLOVAKIA,1000000,0,1000000,-3%
SLOVENIA,68130,0,68130,-29%
SOUTH AFRICA,309423,246466,555889,11%
SOUTH KOREA,3438355,318694,3757049,9%
SPAIN,1785432,434030,2219462,6%
TAIWAN,191409,69854,261263,-2%
THAILAND,594057,1289458,1883515,12%
TURKEY,810889,541759,1352648,6%
UKRAINE,1490,0,1490,-82%
UNITED KINGDOM,775014,101600,876614,-6%
USA,1751736,8308603,10060339,10%
UZBEKISTAN,328118,5451,333569,38%
OTHERS,1790867,239271,2030138
TOTAL,61598650,23418078,85016728,6%
