% https://docs.sentinel.thalesgroup.com/softwareandservices/ems/EMSdocs/WSG/Content/TimeZone.htm
ID,Location
Etc/GMT+12,(GMT-12:00) International Date Line West
Etc/GMT+11,(GMT-11:00) Coordinated Universal Time-11
Pacific/Midway,(GMT-11:00) Midway
Pacific/Niue,(GMT-11:00) Niue
Pacific/Pago_Pago,(GMT-11:00) Pago_Pago
Pacific/Samoa,(GMT-11:00) Samoa
America/Adak,(GMT-10:00) Adak
Pacific/Rarotonga,(GMT-10:00) Rarotonga
Pacific/Tahiti,(GMT-10:00) Tahiti
Pacific/Honolulu,(GMT-10:00) Hawaii
Pacific/Marquesas,(GMT-09:30) Marquesas Islands
America/Anchorage,(GMT-09:00) Alaska
Pacific/Gambier,(GMT-09:00) Gambier
America/Juneau,(GMT-08:00) Juneau
America/Nome,(GMT-08:00) Nome
America/Metlakatla,(GMT-08:00) Metlakatla
America/Sitka,(GMT-08:00) Sitka
America/Yakutat,(GMT-08:00) Yakutat
America/Tijuana,(GMT-08:00) Baja California
America/Los_Angeles,(GMT-08:00) Pacific Time (US & Canada)
Pacific/Pitcairn,(GMT-08:00) Pitcairn
America/Creston,(GMT-07:00) Creston
America/Chihuahua,"(GMT-07:00) Chihuahua, Mazatlan"
America/Dawson,(GMT-07:00) Dawson
America/Dawson_Creek,(GMT-07:00) Dawson Creek
America/Denver,(GMT-07:00) Mountain Time (US & Canada)
America/Ensenada,(GMT-07:00) Ensenada
America/Fort_Nelson,(GMT-07:00) Fort Nelson
America/Hermosillo,(GMT-07:00) Hermosillo
America/Vancouver,(GMT-07:00) Vancouver
America/Whitehorse,(GMT-07:00) Whitehorse
America/Phoenix,(GMT-07:00) Arizona
America/Bahia_Banderas,(GMT-06:00) Bahia Banderas
America/Belize,(GMT-06:00) Belize
America/Boise,(GMT-06:00) Boise
America/Costa_Rica,(GMT-06:00) Costa Rica
America/Chicago,(GMT-06:00) Central Time (US & Canada)
America/Edmonton,(GMT-06:00) Edmonton
America/El_Salvador,(GMT-06:00) El Salvador
America/Guatemala,(GMT-06:00) Central America
America/Managua,(GMT-06:00) Managua
America/Mazatlan,(GMT-06:00) Mazatlan
America/Ojinaga,(GMT-06:00) Ojinaga
America/Swift_Current,(GMT-06:00) Swift Current
America/Tegucigalpa,(GMT-06:00) Tegucigalpa
America/Mexico_City,"(GMT-06:00) Guadalajara, Mexico City, Monterrey"
America/Regina,(GMT-06:00) Saskatchewan
